date,ts_code,name,score,forward_return,mom_20d,regime,high,medium,low,mom_score,slope_score,turnover_score,strength_score,score_bucket
20251209,801010.SI,农林牧渔,4.96,1.69,-4.37,BULL,0,0,1,2.88,4.57,8.71,4.827574456484702,"(4.9, 5.2]"
20251209,801030.SI,基础化工,4.87,-2.19,-5.08,BULL,0,0,1,3.64,4.37,7.64,4.616302051386903,"(4.6, 4.9]"
20251209,801040.SI,钢铁,4.68,-1.02,-7.16,BULL,0,0,1,2.67,4.26,8.45,4.500102228583113,"(4.6, 4.9]"
20251209,801050.SI,有色金属,6.27,-1.45,1.05,BULL,0,1,0,5.63,5.12,9.76,5.408573570503648,"(6.1, 6.4]"
20251209,801080.SI,电子,6.53,-4.61,1.63,BULL,0,1,0,6.96,5.18,8.91,5.4719552920329875,"(6.4, 6.7]"
20251209,801110.SI,家用电器,6.12,-1.05,0.42,BULL,0,1,0,5.29,5.16,9.41,5.4508280515232075,"(6.1, 6.4]"
20251209,801120.SI,食品饮料,4.7,0.76,-5.35,BULL,0,0,1,2.2,4.45,8.76,4.700811013426022,"(4.6, 4.9]"
20251209,801130.SI,纺织服饰,5.34,-3.43,-1.72,BULL,0,1,0,3.86,4.58,9.16,4.838138076739591,"(5.2, 5.5]"
20251209,801140.SI,轻工制造,6.39,-2.55,1.32,BULL,0,1,0,6.28,5.18,9.23,5.4719552920329875,"(6.4, 6.7]"
20251209,801150.SI,医药生物,5.16,-3.25,-3.8,BULL,0,1,0,3.53,4.5,8.92,4.7536291147004714,"(4.9, 5.2]"
20251209,801160.SI,公用事业,4.96,-0.57,-5.08,BULL,0,0,1,3.4,4.57,7.97,4.827574456484702,"(4.9, 5.2]"
20251209,801170.SI,交通运输,5.24,-0.6,-4.83,BULL,0,1,0,3.47,4.48,9.49,4.732501874190692,"(5.2, 5.5]"
20251209,801180.SI,房地产,4.43,-2.93,-7.96,BULL,0,0,1,2.2,4.08,8.34,4.309957063995094,"(4.4, 4.6]"
20251209,801200.SI,商贸零售,5.43,0.98,-3.39,BULL,0,1,0,4.52,4.57,8.61,4.827574456484702,"(5.2, 5.5]"
20251209,801210.SI,社会服务,5.47,-0.61,-1.94,BULL,0,1,0,3.91,4.83,9.05,5.10222858311184,"(5.2, 5.5]"
20251209,801230.SI,综合,6.62,-8.82,6.1,BULL,0,1,0,7.57,4.77,9.47,5.0388468615825,"(6.4, 6.7]"
20251209,801710.SI,建筑材料,5.72,-1.17,-3.0,BULL,0,1,0,4.42,4.79,9.65,5.059974102092281,"(5.5, 5.8]"
20251209,801720.SI,建筑装饰,5.29,-1.9,-5.08,BULL,0,1,0,3.3,4.56,9.79,4.8170108362298105,"(5.2, 5.5]"
20251209,801730.SI,电力设备,5.09,-3.5,-6.05,BULL,0,1,0,4.0,4.2,8.65,4.436720507053774,"(4.9, 5.2]"
20251209,801740.SI,国防军工,6.77,0.99,4.44,BULL,0,1,0,7.67,5.4,8.47,5.7043549376405664,"(6.7, 6.9]"
20251209,801750.SI,计算机,5.39,-4.07,-2.8,BULL,0,1,0,3.98,4.69,8.93,4.954337899543381,"(5.2, 5.5]"
20251209,801760.SI,传媒,5.34,-4.44,-1.66,BULL,0,1,0,4.01,4.91,8.06,5.186737545150959,"(5.2, 5.5]"
20251209,801770.SI,通信,7.78,-5.55,15.2,BULL,1,0,0,9.28,6.29,8.79,6.644517140325771,"(7.5, 7.8]"
20251209,801780.SI,银行,4.93,-2.35,-1.99,BULL,0,0,1,2.97,4.78,7.9,5.049410481837391,"(4.9, 5.2]"
20251209,801790.SI,非银金融,5.97,1.26,-1.15,BULL,0,1,0,5.48,4.7,9.53,4.964901519798271,"(5.8, 6.1]"
20251209,801880.SI,汽车,6.01,-1.28,-1.91,BULL,0,1,0,5.26,4.94,9.46,5.218428405915629,"(5.8, 6.1]"
20251209,801890.SI,机械设备,6.58,-2.95,1.03,BULL,0,1,0,6.81,5.17,9.4,5.461391671778097,"(6.4, 6.7]"
20251209,801950.SI,煤炭,4.27,-1.75,-8.24,BULL,0,0,1,2.43,4.17,7.01,4.405029646289104,"(4.1, 4.4]"
20251209,801960.SI,石油石化,5.01,-2.09,-3.22,BULL,0,1,0,3.5,4.6,7.99,4.859265317249371,"(4.9, 5.2]"
20251209,801970.SI,环保,5.13,-2.18,-5.23,BULL,0,1,0,3.65,4.38,8.92,4.626865671641792,"(4.9, 5.2]"
20251209,801980.SI,美容护理,4.6,-0.68,-6.84,BULL,0,0,1,2.72,4.17,8.2,4.405029646289104,"(4.4, 4.6]"
20251210,801010.SI,农林牧渔,5.4,0.23,-3.19,BULL,0,1,0,3.74,4.6,9.64,4.794244217321141,"(5.2, 5.5]"
20251210,801030.SI,基础化工,4.83,-0.22,-4.36,BULL,0,0,1,3.86,4.42,7.09,4.606643356643357,"(4.6, 4.9]"
20251210,801040.SI,钢铁,4.57,-0.28,-6.0,BULL,0,0,1,3.13,4.28,7.21,4.460731576116192,"(4.4, 4.6]"
20251210,801050.SI,有色金属,6.17,0.49,2.13,BULL,0,1,0,6.12,5.19,8.42,5.409158149542765,"(6.1, 6.4]"
20251210,801080.SI,电子,6.65,-1.85,1.67,BULL,0,1,0,6.71,5.37,9.5,5.5967590102205484,"(6.4, 6.7]"
20251210,801110.SI,家用电器,6.18,-0.53,-0.51,BULL,0,1,0,5.42,5.21,9.49,5.4300026896180755,"(6.1, 6.4]"
20251210,801120.SI,食品饮料,4.75,1.11,-5.44,BULL,0,0,1,2.41,4.43,8.83,4.617065626681011,"(4.6, 4.9]"
20251210,801130.SI,纺织服饰,5.4,-3.21,-2.3,BULL,0,1,0,3.99,4.58,9.31,4.773399677245831,"(5.2, 5.5]"
20251210,801140.SI,轻工制造,6.46,-2.85,1.78,BULL,0,1,0,6.53,5.26,9.07,5.482114039806349,"(6.4, 6.7]"
20251210,801150.SI,医药生物,5.22,-2.28,-4.17,BULL,0,1,0,3.66,4.54,9.04,4.731710597095213,"(5.2, 5.5]"
20251210,801160.SI,公用事业,5.19,-0.5,-4.61,BULL,0,1,0,3.64,4.65,8.6,4.8463555675094145,"(4.9, 5.2]"
20251210,801170.SI,交通运输,5.45,-0.33,-4.04,BULL,0,1,0,4.03,4.57,9.52,4.762977407208177,"(5.2, 5.5]"
20251210,801180.SI,房地产,5.03,-5.25,-5.06,BULL,0,1,0,3.56,4.13,9.27,4.304397525551372,"(4.9, 5.2]"
20251210,801200.SI,商贸零售,5.84,-0.79,-0.86,BULL,0,1,0,5.78,4.72,8.47,4.919311457772996,"(5.8, 6.1]"
20251210,801210.SI,社会服务,5.87,-0.8,-0.54,BULL,0,1,0,5.03,4.86,9.38,5.065223238300163,"(5.8, 6.1]"
20251210,801230.SI,综合,6.45,-7.86,5.39,BULL,0,1,0,7.39,4.89,8.67,5.096490048413126,"(6.4, 6.7]"
20251210,801710.SI,建筑材料,5.85,-1.23,-1.59,BULL,0,1,0,5.06,4.87,9.21,5.075645508337817,"(5.8, 6.1]"
20251210,801720.SI,建筑装饰,5.29,-1.94,-4.3,BULL,0,1,0,3.68,4.62,9.15,4.81508875739645,"(5.2, 5.5]"
20251210,801730.SI,电力设备,4.99,-0.63,-4.87,BULL,0,0,1,4.01,4.28,8.0,4.460731576116192,"(4.9, 5.2]"
20251210,801740.SI,国防军工,7.07,0.1,6.09,BULL,1,0,0,7.91,5.47,9.53,5.700981710597095,"(6.9, 7.2]"
20251210,801750.SI,计算机,5.19,-2.01,-2.39,BULL,0,1,0,3.73,4.68,8.42,4.8776223776223775,"(4.9, 5.2]"
20251210,801760.SI,传媒,5.4,-3.56,-0.52,BULL,0,1,0,4.7,4.9,7.45,5.106912318450782,"(5.2, 5.5]"
20251210,801770.SI,通信,8.07,-1.95,15.97,BULL,1,0,0,9.4,6.54,9.53,6.8161646046261435,"(7.8, 8.1]"
20251210,801780.SI,银行,5.07,-0.66,-4.02,BULL,0,1,0,2.4,4.72,9.69,4.919311457772996,"(4.9, 5.2]"
20251210,801790.SI,非银金融,6.16,2.9,-0.86,BULL,0,1,0,5.72,4.83,9.89,5.0339564281871985,"(6.1, 6.4]"
20251210,801880.SI,汽车,6.36,-1.41,-0.22,BULL,0,1,0,6.1,5.06,9.75,5.2736686390532554,"(6.1, 6.4]"
20251210,801890.SI,机械设备,6.85,-2.21,3.08,BULL,0,1,0,7.27,5.3,9.8,5.523803119956967,"(6.7, 6.9]"
20251210,801950.SI,煤炭,4.14,-1.96,-7.44,BULL,0,0,1,2.7,4.18,5.97,4.356508875739645,"(4.1, 4.4]"
20251210,801960.SI,石油石化,5.0,-1.07,-4.28,BULL,0,1,0,3.31,4.6,8.29,4.794244217321141,"(4.9, 5.2]"
20251210,801970.SI,环保,5.36,-2.19,-4.42,BULL,0,1,0,3.89,4.45,9.63,4.637910166756321,"(5.2, 5.5]"
20251210,801980.SI,美容护理,4.55,0.02,-6.85,BULL,0,0,1,2.86,4.21,7.73,4.38777568585261,"(4.4, 4.6]"
20251211,801010.SI,农林牧渔,5.06,0.9,-4.67,BULL,0,1,0,3.0,4.64,9.04,4.771129096457477,"(4.9, 5.2]"
20251211,801030.SI,基础化工,4.82,1.06,-7.92,BULL,0,0,1,2.95,4.53,8.17,4.6580204325328385,"(4.6, 4.9]"
